STATE,AREA
ALABAMA,"52,420"
ALASKA,"665,384"
ARIZONA,"113,990"
ARKANSAS,"53,179"
CALIFORNIA,"163,695"
COLORADO,"104,094"
CONNECTICUT,"5,543"
DELAWARE,"2,489"
DISTRICT OF COLUMBIA,"68"
FLORIDA,"65,758"
GEORGIA,"59,425"
HAWAII,"10,932"
IDAHO,"83,569"
ILLINOIS,"57,914"
INDIANA,"36,420"
IOWA,"56,273"
KANSAS,"82,278"
KENTUCKY,"40,408"
LOUISIANA,"52,378"
MAINE,"35,380"
MARYLAND,"12,406"
MASSACHUSETTS,"10,554"
MICHIGAN,"96,714"
MINNESOTA,"86,936"
MISSISSIPPI,"48,432"
MISSOURI,"69,707"
MONTANA,"147,040"
NEBRASKA,"77,348"
NEVADA,"110,572"
NEW HAMPSHIRE,"9,349"
NEW JERSEY,"8,723"
NEW MEXICO,"121,590"
NEW YORK,"54,555"
NORTH CAROLINA,"53,819"
NORTH DAKOTA,"70,698"
OHIO,"44,826"
OKLAHOMA,"69,899"
OREGON,"98,379"
PENNSYLVANIA,"46,054"
RHODE ISLAND,"1,545"
SOUTH CAROLINA,"32,020"
SOUTH DAKOTA,"77,116"
TENNESSEE,"42,144"
TEXAS,"268,596"
UTAH,"84,897"
VERMONT,"9,616"
VIRGINIA,"42,775"
WASHINGTON,"71,298"
WEST VIRGINIA,"24,230"
WISCONSIN,"65,496"
WYOMING,"97,813"
